Name,AC,Alignment,CR,Current HP,Damage,Environment,Hit Points,Initiative,Initiative Roll,Legendary,Page Number,Size,Source,Speed (ft),Type
"Dragonette, Sedge",13,,0.5,27,,,27,0,10,,149,,Tome of Beasts 3,,Dragon
Angler Worm,14,,4,133,,,133,-3,7,,22,,Tome of Beasts,,Monstrosity
Lemurfolk Greyfur,13,,4,67,,,67,3,13,,271,,Tome of Beasts,,Humanoid
Scribe Devil,15,,5,82,,,82,3,13,,318,,Tome of Beasts 2,,Fiend
Fey Drake,17,,6,82,,,82,5,15,,130,,Creature Codex,,Dragon
Swarm of Spiders,12,,0.5,22,,,22,1,11,,339,,5e SRD,,Beast
Mei Jiao Shou,14,,7,139,,,139,-2,8,,259,,Tome of Beasts 2,,Beast
Ghoulsteed,13,,3,85,,,85,0,10,,177,,Creature Codex,,Undead
Wind Eater,14,,2,65,,,65,4,14,,381,,Creature Codex,,Undead
Alchemical Skunk,15,,4,66,,,66,3,13,,13,,Tome of Beasts 2,,Monstrosity
"Beetle, Clacker Soldier",15,,1,18,,,18,2,12,,54,,Tome of Beasts 3,,Beast
Camel,9,,0.125,15,,,15,-1,9,,320,,5e SRD,,Beast
Kobold War Machine,16,,9,114,,,114,2,12,,233,,Tome of Beasts 2,,Construct
"Swarm, Biting Gnat",13,,0.25,16,,,16,3,13,,360,,Tome of Beasts 3,,Beast
Gigantura,16,,13,248,,,248,3,13,,208,,Tome of Beasts 3,,Monstrosity
Clockwork Archon,18,,13,201,,,201,-1,9,,65,,Tome of Beasts 2,,Construct
Lobe Lemur,14,,4,93,,,93,4,14,,264,,Tome of Beasts 3,,Monstrosity
Azi Dahaka,15,,14,157,,,157,2,12,Legendary,45,,Creature Codex,,Dragon
Guard Squad,15,,3,55,,,55,1,11,,492,,A5e Monstrous Menagerie,,Humanoid
Ghost Knight Templar,18,,10,127,,,127,4,14,,196,,Tome of Beasts 3,,Undead
Fleshpod Hornet,14,,6,120,,,120,4,14,,161,,Creature Codex,,Beast
Bone Collector,13,,0.5,21,,,21,2,12,,64,,Tome of Beasts 3,,Undead
Runeswarm,15,,10,150,,,150,5,15,,310,,Tome of Beasts 2,,Construct
Sap Demon,13,,4,67,,,67,-2,8,,335,,Tome of Beasts,,Ooze
Cave Ogre,12,,2,119,,,119,-1,9,,347,,A5e Monstrous Menagerie,,Giant
Adult Brass Dragon,18,,13,172,,,172,0,10,Legendary,105,,5e SRD,,Dragon
"Alliumite, Rapscallion",15,,2,38,,,38,4,14,,17,,Tome of Beasts 3,,Plant
Heavy Cavalry,19,,2,75,,,75,1,11,,0,,Creature Codex,,Humanoid
Kitsune,12,,2,49,,,49,2,12,,236,,Creature Codex,,Fey
Mule,10,,0.125,11,,,11,0,10,,333,,5e SRD,,Beast
Shabti,17,,8,102,,,102,5,15,,343,,Tome of Beasts,,Construct
Zmey Headling,16,,5,105,,,105,0,10,,417,,Tome of Beasts,,Dragon
Moppet,10,,1,17,,,17,0,10,,277,,Tome of Beasts 3,,Construct
"Ooze, Snow",6,,7,171,,,171,-4,6,,311,,Tome of Beasts 3,,Ooze
Stone Creeper,12,,1,30,,,30,2,12,,339,,Tome of Beasts 2,,Plant
Wynasia,,,,0,,,,,6,,,,,,Character
Boloti,15,,1,63,,,63,5,15,,38,,Tome of Beasts,,Fey
Barbed Devil,15,,5,102,,,102,3,13,,78,,A5e Monstrous Menagerie,,Fiend
"Golem, Origami",15,,7,114,,,114,2,12,,216,,Tome of Beasts 3,,Construct
Cavefish Zombie,10,,0.5,37,,,37,0,10,,384,,Tome of Beasts 2,,Undead
Bereginyas,15,,4,70,,,70,5,15,,36,,Tome of Beasts,,Fey
Bone Colossus,16,,13,181,,,181,0,10,,267,,Tome of Beasts 2,,Undead
Adult Flame Dragon,19,,16,212,,,212,2,12,Legendary,129,,Tome of Beasts,,Dragon
Locksmith,18,,8,102,,,102,4,14,,240,,Tome of Beasts 2,,Construct
Greater Lunarchidna,16,,4,58,,,58,3,13,,242,,Tome of Beasts 2,,Aberration
"Beetle, Clacker Swarm",14,,3,36,,,36,1,11,,54,,Tome of Beasts 3,,Beast
Shadow Elf High Priest,18,,6,82,,,82,0,10,,489,,A5e Monstrous Menagerie,,Humanoid
Luck Leech,17,,10,150,,,150,5,15,,241,,Tome of Beasts 2,,Fey
Iron Sphere,16,,5,60,,,60,1,11,,228,,Creature Codex,,Construct
Ichor Ooze,8,,2,39,,,39,-2,8,,279,,Tome of Beasts 2,,Ooze
Deathsworn Elf,16,,6,82,,,82,4,14,,142,,Creature Codex,,Humanoid
Fear Liath,12,,2,33,,,33,2,12,,152,,Creature Codex,,Undead
Salamander Noble,15,,8,136,,,136,2,12,,379,,A5e Monstrous Menagerie,,Elemental
Asanbosam,14,,5,102,,,102,1,11,,27,,Tome of Beasts,,Aberration
Skeletal Warhorse,11,,0.5,30,,,30,1,11,,394,,A5e Monstrous Menagerie,,Undead
"Devil, Devilflame Juggler",18,,13,178,,,178,5,15,,119,,Tome of Beasts 3,,Fiend
Vile Barber,15,,2,28,,,28,4,14,,401,,Tome of Beasts,,Fey
Relentless Hound,12,,4,52,,,52,2,12,,331,,Tome of Beasts 3,,Undead
Swarm of Poisonous Snakes,14,,2,45,,,45,4,14,,461,,A5e Monstrous Menagerie,,Beast
Pyrite Pile,18,,6,136,,,136,0,10,,323,,Tome of Beasts 3,,Elemental
Shadow Boxer,13,,3,55,,,55,3,13,,322,,Tome of Beasts 2,,Fey
Tzepharion,16,,8,110,,,110,2,12,,106,,Tome of Beasts 2,,Fiend
Vent Linnorm,19,,16,247,,,247,2,12,,239,,Tome of Beasts 2,,Dragon
Young Imperial Dragon,18,,11,210,,,210,1,11,,117,,Tome of Beasts 2,,Dragon
Vine Lord's Tendril Puppet,13,,2,34,,,34,1,11,,403,,Tome of Beasts,,Plant
Fire-Infused Water Elemental,14,,7,138,,,138,2,12,,216,,Tome of Beasts 2,,Elemental
Diminution Drake,15,,5,71,,,71,4,14,,121,,Tome of Beasts 2,,Dragon
Grolar Bear Alpha,16,,8,152,,,152,0,10,,222,,Tome of Beasts 3,,Monstrosity
Ancient Amethyst Dragon,20,,23,313,,,313,7,17,Legendary,140,,A5e Monstrous Menagerie,,Dragon
Kelp Drake,15,,3,60,,,60,2,12,,227,,Tome of Beasts 2,,Dragon
Medusa,15,,6,127,,,127,2,12,,214,,5e SRD,,Monstrosity
Manggus,14,,5,127,,,127,2,12,,256,,Tome of Beasts 2,,Giant
Veteran,17,,3,58,,,58,1,11,,350,,5e SRD,,Humanoid
Fey Knight,16,,4,58,,,58,4,14,,201,,A5e Monstrous Menagerie,,Fey
Corpse Worm,14,,3,76,,,76,1,11,,71,,Tome of Beasts 2,,Monstrosity
Avestruzii,14,,0.5,22,,,22,0,10,,48,,Tome of Beasts 3,,Humanoid
Sand Silhouette,15,,6,105,,,105,1,11,,332,,Tome of Beasts,,Undead
"Giant, Thursir Armorer",19,,6,138,,,138,-1,9,,206,,Tome of Beasts 3,,Giant
Kuunganisha,13,,2,17,,,17,3,13,,245,,Creature Codex,,Fiend
Living Star,19,,19,207,,,207,6,16,,256,,Creature Codex,,Celestial
"Ghoul, Darakhul EOTG",16,,3,78,,,78,3,13,,216,,Tome of Beasts,,Undead
Brownie Beastrider,15,,3,54,,,54,5,15,,69,,Tome of Beasts 3,,Fey
Destroyer,15,,3,60,,,60,1,11,,315,,Tome of Beasts 2,,Humanoid
Boreal Dragon Wyrmling,17,,2,39,,,39,0,10,,113,,Tome of Beasts 2,,Dragon
Suppurating Ooze,8,,1,30,,,30,-2,8,,288,,Creature Codex,,Ooze
Amethyst Dragon Wyrmling,16,,2,45,,,45,2,12,,142,,A5e Monstrous Menagerie,,Dragon
Valkyrie,16,,11,112,,,112,4,14,Legendary,396,,Tome of Beasts,,Celestial
Rotsam,13,,2,45,,,45,3,13,,309,,Tome of Beasts 2,,Ooze
Balloon Spider,13,,1,36,,,36,3,13,,387,,Tome of Beasts 2,,Beast
Cackling Skeleton,9,,0.5,26,,,26,-1,9,,79,,Tome of Beasts 2,,Undead
Spymaster,16,,7,97,,,97,3,13,,468,,A5e Monstrous Menagerie,,Humanoid
Wereshark,11,,5,90,,,90,1,11,,266,,Tome of Beasts 2,,Humanoid
Rust Monster,14,,0.5,27,,,27,1,11,,262,,5e SRD,,Monstrosity
Preta,13,,3,75,,,75,2,12,,411,,Creature Codex,,Undead
Minstrel,15,,2,32,,,32,3,13,,484,,A5e Monstrous Menagerie,,Humanoid
"Giant, Firestorm",14,,7,149,,,149,2,12,,202,,Tome of Beasts 3,,Giant
Deathcap Myconid,15,,4,90,,,90,0,10,,0,,Tome of Beasts,,Plant
Drowned Maiden,15,,5,90,,,90,3,13,,159,,Tome of Beasts,,Undead
Crypt Spider,15,,2,38,,,38,3,13,,133,,Creature Codex,,Beast
Befouled Weird,14,,5,75,,,75,2,12,,41,,Tome of Beasts 2,,Elemental
"Ogre, Void Blessed",15,,6,133,,,133,-1,9,,303,,Tome of Beasts 3,,Giant
Uraeus,14,,2,40,,,40,2,12,,392,,Tome of Beasts,,Celestial
Mud Golem,10,,1,27,,,27,0,10,,201,,Creature Codex,,Construct
Wight,14,,3,45,,,45,2,12,,300,,5e SRD,,Undead
Azer,17,,2,39,,,39,1,11,,22,,5e SRD,,Elemental
Shadow Fey Enchantress,16,,7,123,,,123,2,12,,172,,Tome of Beasts,,Humanoid
Shadow,12,,0.5,16,,,16,2,12,,269,,5e SRD,,Undead
Jackal,12,,0,3,,,3,2,12,,331,,5e SRD,,Beast
Wolf Spirit Swarm,16,,6,97,,,97,3,13,,377,,Tome of Beasts,,Undead
"Angel, Psychopomp",14,,4,68,,,68,2,12,,28,,Tome of Beasts 3,,Celestial
Barong,20,,17,225,,,225,5,15,Legendary,49,,Creature Codex,,Celestial
Hoard Golem,18,,12,161,,,161,2,12,,234,,Tome of Beasts,,Construct
Glacial Crawler,17,,11,207,,,207,3,13,,209,,Tome of Beasts 3,,Aberration
Raptor,13,,1,32,,,32,2,12,,91,,A5e Monstrous Menagerie,,Beast
Voidling,16,,11,110,,,110,6,16,,404,,Tome of Beasts,,Aberration
Giant Hyena,12,,1,45,,,45,2,12,,326,,5e SRD,,Beast
Akhlut,14,,6,120,,,120,2,12,,0,,Tome of Beasts 2,,Beast
Orobas Devil,19,,14,261,,,261,2,12,,111,,Tome of Beasts,,Fiend
Drudge Pitcher,16,,10,168,,,168,-1,9,,161,,Tome of Beasts 3,,Plant
Harvest Horse,13,,0.5,37,,,37,-3,7,,230,,Tome of Beasts 3,,Construct
Shadow River Lord,16,,9,135,,,135,4,14,,327,,Creature Codex,,Undead
Emerald Order Cult Leader,14,,8,117,,,117,0,10,,421,,Tome of Beasts,,Humanoid
Archaeopteryx,12,,0.25,7,,,7,1,11,,25,,Creature Codex,,Beast
High Priest,18,,6,82,,,82,0,10,,489,,A5e Monstrous Menagerie,,Humanoid
Ruby Ooze,9,,6,93,,,93,-1,9,,286,,Creature Codex,,Ooze
Crystallite,15,,4,90,,,90,-1,9,,100,,Tome of Beasts 3,,Giant
Tricenatorus,15,,13,184,,,184,0,10,,109,,Tome of Beasts 2,,Monstrosity
Giant Mongoose,13,,0.25,13,,,13,3,13,,393,,Tome of Beasts 2,,Beast
Cloaker,14,,8,78,,,78,2,12,,41,,5e SRD,,Aberration
Caretaker Weevil,13,,1,51,,,51,1,11,,73,,Tome of Beasts 3,,Beast
Hill Giant,13,,5,105,,,105,-1,9,,155,,5e SRD,,Giant
Pseudodragon Familiar,13,,0.25,7,,,7,2,12,,363,,A5e Monstrous Menagerie,,Dragon
Blood Hawk,12,,0.125,7,,,7,2,12,,319,,5e SRD,,Beast
Black Sun Priestess,13,,3,67,,,67,1,11,,290,,Creature Codex,,Humanoid
Shadhavar,14,,2,97,,,97,2,12,,344,,Tome of Beasts,,Monstrosity
Kikimora,15,,5,65,,,65,4,14,,260,,Tome of Beasts,,Fey
Bronze Dragon Wyrmling,17,,2,32,,,32,0,10,,109,,5e SRD,,Dragon
Fext,17,,6,60,,,60,3,13,,183,,Tome of Beasts,,Undead
Storm Maiden,15,,4,78,,,78,3,13,,340,,Tome of Beasts 2,,Elemental
"Wraith, Oathrot",13,,4,52,,,52,3,13,,396,,Tome of Beasts 3,,Undead
Sahuagin,12,,0.5,22,,,22,0,10,,263,,5e SRD,,Humanoid
Stormboar,15,,6,95,,,95,1,11,,341,,Tome of Beasts 2,,Monstrosity
Mountain Giant,20,,21,313,,,313,0,10,Legendary,185,,Creature Codex,,Giant
Boggard Bravo,12,,0.5,27,,,27,2,12,,36,,A5e Monstrous Menagerie,,Humanoid
Manastorm Golem,14,,8,90,,,90,2,12,,203,,Creature Codex,,Construct
Swampgas Shade,13,,2,39,,,39,3,13,,359,,Tome of Beasts 3,,Undead
Pishacha,13,,3,55,,,55,2,12,,88,,Creature Codex,,Fiend
Giant Octopus,11,,1,52,,,52,1,11,,326,,5e SRD,,Beast
Ice Mephit,11,,0.5,21,,,21,1,11,,215,,5e SRD,,Elemental
Pteranodon,13,,0.5,30,,,30,2,12,,90,,A5e Monstrous Menagerie,,Beast
Young Light Dragon,15,,7,142,,,142,0,10,,170,,Creature Codex,,Dragon
Primordial Matriarch,20,,21,313,,,313,10,20,Legendary,318,,Tome of Beasts 3,,Elemental
Dragonleaf Tree,16,,8,152,,,152,0,10,,147,,Tome of Beasts,,Plant
Primal Oozer,14,,6,112,,,112,1,11,,297,,Tome of Beasts 2,,Aberration
Ancient Blue Dragon (+),22,,25,407,,,407,0,10,Legendary,106,,A5e Monstrous Menagerie,,Dragon
Laestrigonian Giant,13,,4,95,,,95,2,12,,184,,Creature Codex,,Giant
Mammon,20,,25,378,,,378,1,11,Legendary,335,,Tome of Beasts,,Fiend
Ancient Shadow Dragon,21,,24,296,,,296,3,13,Legendary,134,,A5e Monstrous Menagerie,,Dragon
Walking Statue,16,,3,66,,,66,-1,9,,24,,A5e Monstrous Menagerie,,Construct
"Kobold, Empyrean",18,,10,150,,,150,4,14,,253,,Tome of Beasts 3,,Celestial
Erina Scrounger,12,,0.25,22,,,22,1,11,,178,,Tome of Beasts,,Humanoid
Fomorian,15,,8,138,,,138,0,10,,406,,A5e Monstrous Menagerie,,Fey
Spirit Naga,15,,8,75,,,75,3,13,,234,,5e SRD,,Monstrosity
Wild Sirocco,13,,6,105,,,105,3,13,,391,,Tome of Beasts 3,,Elemental
Dire Wildebeest,14,,7,150,,,150,3,13,,134,,Tome of Beasts 3,,Beast
Great Gray Owl,13,,0.25,10,,,10,3,13,,284,,Tome of Beasts 2,,Beast
Faerie Noble,16,,12,165,,,165,5,15,,200,,A5e Monstrous Menagerie,,Fey
Purple Worm,18,,15,247,,,247,-2,8,,255,,5e SRD,,Monstrosity
Vampire Warrior,18,,12,142,,,142,4,14,Legendary,421,,A5e Monstrous Menagerie,,Undead
Carbuncle,12,,1,36,,,36,2,12,,57,,Creature Codex,,Monstrosity
Shiftshroom,5,,0.25,18,,,18,-5,5,,159,,Tome of Beasts 2,,Plant
Anubian,13,,2,44,,,44,3,13,,24,,Tome of Beasts,,Elemental
Shoreline Scrapper,16,,4,93,,,93,1,11,,43,,Creature Codex,,Beast
Bear King,18,,12,133,,,133,0,10,Legendary,186,,Tome of Beasts,,Fey
Altar Flame Golem,16,,10,152,,,152,-1,9,,193,,Creature Codex,,Construct
Felid Dragon,18,,19,275,,,275,8,18,,143,,Tome of Beasts 2,,Dragon
Arborcyte,16,,8,127,,,127,1,11,,40,,Creature Codex,,Plant
Hair Golem,13,,0.25,13,,,13,3,13,,200,,Creature Codex,,Construct
Knight of the Road,16,,5,117,,,117,4,14,,58,,Creature Codex,,Humanoid
Otyugh,14,,6,110,,,110,0,10,,354,,A5e Monstrous Menagerie,,Aberration
Warhordling Orc Warrior,13,,0.25,11,,,11,1,11,,499,,A5e Monstrous Menagerie,,Humanoid
Faerie Eater Troll,15,,6,84,,,84,1,11,,413,,A5e Monstrous Menagerie,,Giant
Orc,13,,0.5,15,,,15,1,11,,246,,5e SRD,,Humanoid
Will-o'-Wisp,19,,2,22,,,22,9,19,,301,,5e SRD,,Undead
Flame Dragon Wyrmling,17,,3,52,,,52,2,12,,129,,Tome of Beasts,,Dragon
Vanara,13,,2,55,,,55,3,13,,235,,Creature Codex,,Humanoid
Desert Troll,15,,6,105,,,105,1,11,,356,,Creature Codex,,Giant
Bull,11,,0.25,25,,,25,1,11,,169,,Tome of Beasts 2,,Beast
Execrable Shrub,14,,0.5,40,,,40,2,12,,304,,Creature Codex,,Fiend
Mountain Strider,12,,1,34,,,34,2,12,,261,,Tome of Beasts 2,,Monstrosity
Nightmare,13,,3,68,,,68,2,12,,235,,5e SRD,,Fiend
Sigilian,14,,2,65,,,65,4,14,,335,,Creature Codex,,Construct
Young Earth Dragon,18,,10,161,,,161,1,11,,128,,A5e Monstrous Menagerie,,Dragon
Myrmex,15,,5,90,,,90,1,11,,283,,Tome of Beasts 3,,Elemental
Medusa Queen,14,,11,153,,,153,4,14,Legendary,323,,A5e Monstrous Menagerie,,Monstrosity
Green Hag,17,,3,82,,,82,1,11,,177,,5e SRD,,Fey
"Zombie, Voidclaw",14,,7,143,,,143,4,14,,401,,Tome of Beasts 3,,Undead
Ape,12,,0.5,19,,,19,2,12,,317,,5e SRD,,Beast
Jinnborn Air Pirate,14,,0.5,26,,,26,2,12,,246,,Tome of Beasts 3,,Humanoid
Corrupted Unicorn,14,,5,85,,,85,4,14,,416,,A5e Monstrous Menagerie,,Celestial
Leshy,14,,1,84,,,84,1,11,,272,,Tome of Beasts,,Monstrosity
"Alabroza, Bloodfiend",14,,4,72,,,72,2,12,,13,,Tome of Beasts 3,,Fiend
Greater Ghast of Leng,17,,8,153,,,153,4,14,,52,,Tome of Beasts 2,,Aberration
Giant Honey Bee,12,,0.25,9,,,9,2,12,,392,,Tome of Beasts 2,,Beast
Diomedian Horse,14,,3,57,,,57,2,12,,130,,Tome of Beasts 3,,Beast
Truant Devourer,16,,9,156,,,156,3,13,,378,,Tome of Beasts 3,,Undead
Young Spinosaurus,14,,5,105,,,105,0,10,,116,,Tome of Beasts,,Beast
"Drake, Cactus",14,,4,75,,,75,3,13,,152,,Tome of Beasts 3,,Dragon
Ghast,13,,2,36,,,36,3,13,,148,,5e SRD,,Undead
Corpse Thief,13,,0.5,30,,,30,3,13,,66,,Creature Codex,,Humanoid
Moonless Hunter,14,,4,75,,,75,4,14,,275,,Tome of Beasts 3,,Fey
Dhampir,15,,1,32,,,32,2,12,,106,,Creature Codex,,Humanoid
Mimic,12,,2,58,,,58,1,11,,220,,5e SRD,,Monstrosity
Necromancer,12,,6,67,,,67,2,12,,483,,A5e Monstrous Menagerie,,Humanoid
"Swarm, Gryllus",15,,6,110,,,110,4,14,,361,,Tome of Beasts 3,,Construct
Shoggoth,18,,19,387,,,387,2,12,,347,,Tome of Beasts,,Aberration
Alchemical Apprentice,11,,1,63,,,63,-2,8,,281,,Creature Codex,,Ooze
Chimera,14,,6,114,,,114,0,10,,39,,5e SRD,,Monstrosity
Ogre Zombie,8,,2,85,,,85,-2,8,,316,,5e SRD,,Undead
Jackalope,14,,3,55,,,55,4,14,,453,,A5e Monstrous Menagerie,,Beast
Swarm of Esteron,13,,2,54,,,54,3,13,,400,,Tome of Beasts 2,,Beast
Bruno,,,,0,,,,,8,,,,,,Character
Fallen Solar,21,,21,319,,,319,6,16,Legendary,19,,A5e Monstrous Menagerie,,Celestial
Sinstar,17,,17,275,,,275,2,12,Legendary,345,,Tome of Beasts 3,,Plant
Giant Ape,12,,7,157,,,157,2,12,,323,,5e SRD,,Beast
Skull Drake,15,,3,75,,,75,3,13,,343,,Creature Codex,,Dragon
Imperial Dragon Wyrmling,17,,3,60,,,60,1,11,,117,,Tome of Beasts 2,,Dragon
Offal Walker,12,,1,37,,,37,0,10,,296,,Tome of Beasts 3,,Undead
Cueyatl Moon Priest,13,,5,81,,,81,1,11,,68,,Creature Codex,,Humanoid
Foxfire Ooze,9,,10,126,,,126,-1,9,,283,,Creature Codex,,Ooze
Dhampir Commander,17,,7,97,,,97,3,13,,107,,Creature Codex,,Humanoid
Mortifera,16,,6,135,,,135,3,13,,278,,Tome of Beasts 3,,Aberration
Ancient Gold Dragon,22,,24,546,,,546,2,12,Legendary,113,,5e SRD,,Dragon
"Baba Yaga's Horsemen, Bright Day",20,,11,171,,,171,0,10,,29,,Tome of Beasts,,Fey
Clay Guardian,14,,9,133,,,133,0,10,,261,,A5e Monstrous Menagerie,,Construct
Adult Mithral Dragon,18,,14,184,,,184,4,14,Legendary,133,,Tome of Beasts,,Dragon
Troglodyte,11,,0.5,19,,,19,1,11,,410,,A5e Monstrous Menagerie,,Humanoid
Trollkin Raider,14,,1,32,,,32,1,11,,353,,Tome of Beasts 2,,Humanoid
Clockwork Leech,13,,1,45,,,45,1,11,,66,,Tome of Beasts 2,,Construct
Titanic Kraken,20,,25,888,,,888,0,10,Legendary,301,,A5e Monstrous Menagerie,,Monstrosity
Belu,16,,10,184,,,184,1,11,,55,,Tome of Beasts 3,,Giant
"Giant, Shire",14,,8,138,,,138,-1,9,,205,,Tome of Beasts 3,,Giant
Salamander Nymph,14,,1,27,,,27,2,12,,379,,A5e Monstrous Menagerie,,Elemental
Crocodile,12,,0.5,19,,,19,0,10,,320,,5e SRD,,Beast
Drainpipe Gargoyle,15,,2,45,,,45,0,10,,215,,A5e Monstrous Menagerie,,Elemental
Wereboar,10,,4,78,,,78,0,10,,209,,5e SRD,,Humanoid
Phoenixborn,13,,0.5,33,,,33,3,13,,316,,Tome of Beasts 3,,Humanoid
Kinnara,14,,3,65,,,65,2,12,,17,,Creature Codex,,Celestial
Steam Golem,18,,13,171,,,171,1,11,,237,,Tome of Beasts,,Construct
Hound Of The Night,16,,5,112,,,112,3,13,,251,,Tome of Beasts,,Monstrosity
Armory Golem,15,,7,136,,,136,2,12,,40,,Creature Codex,,Construct
Witchlight,14,,0.25,10,,,10,4,14,,409,,Tome of Beasts,,Construct
Merrow Mage,13,,4,45,,,45,0,10,,331,,A5e Monstrous Menagerie,,Monstrosity
Overshadow,14,,4,90,,,90,4,14,,289,,Tome of Beasts 2,,Undead
Black Bear,11,,0.5,19,,,19,0,10,,318,,5e SRD,,Beast
Shetani,18,,14,190,,,190,4,14,,343,,Tome of Beasts 3,,Fiend
Troll,15,,5,84,,,84,1,11,,291,,5e SRD,,Giant
Musk Deer,13,,0.25,17,,,17,3,13,,282,,Tome of Beasts 3,,Beast
Cobbleswarm,15,,2,36,,,36,0,10,,68,,Tome of Beasts,,Monstrosity
Marilith,18,,16,189,,,189,5,15,,61,,5e SRD,,Fiend
Tophet,16,,8,184,,,184,0,10,,383,,Tome of Beasts,,Construct
Wizard Kobold,12,,5,58,,,58,2,12,,376,,Creature Codex,,Humanoid
Zoog,13,,0,3,,,3,3,13,,396,,Creature Codex,,Aberration
Giant Sloth,15,,7,168,,,168,0,10,,178,,Creature Codex,,Beast
Hound Guardian,15,,1,32,,,32,0,10,,262,,A5e Monstrous Menagerie,,Construct
Nachzehrer,15,,8,136,,,136,1,11,,272,,Creature Codex,,Undead
Naizu-Ha,17,,6,117,,,117,2,12,,223,,Tome of Beasts 2,,Fey
Spellhound,14,,4,102,,,102,2,12,,336,,Tome of Beasts 2,,Monstrosity
Void Giant,14,,11,210,,,210,0,10,,187,,Creature Codex,,Giant
Vesiculosa,15,,11,203,,,203,0,10,,399,,Tome of Beasts,,Plant
Cacus Giant,16,,6,138,,,138,0,10,,181,,Creature Codex,,Giant
Chill Haunt,13,,3,39,,,39,3,13,,62,,Tome of Beasts 2,,Undead
Duergar,16,,1,26,,,26,0,10,,122,,5e SRD,,Humanoid
Zouyu,17,,6,114,,,114,7,17,,386,,Tome of Beasts 2,,Monstrosity
Ettercap,13,,2,44,,,44,2,12,,131,,5e SRD,,Monstrosity
Rum Gremlin,13,,0.5,22,,,22,3,13,,239,,Tome of Beasts,,Fey
Deep Gnome (Svirfneblin),15,,0.5,16,,,16,2,12,,164,,5e SRD,,Humanoid
Wolpertinger,13,,0.25,9,,,9,3,13,,382,,Creature Codex,,Monstrosity
Tembril,15,,6,114,,,114,2,12,,344,,Tome of Beasts 2,,Monstrosity
Clockwork Conductor,13,,0.5,28,,,28,1,11,,87,,Tome of Beasts 3,,Construct
Warhorse,11,,0.5,19,,,19,1,11,,340,,5e SRD,,Beast
Ancient Mandriano,14,,8,102,,,102,-1,9,,261,,Creature Codex,,Plant
"Swarm, Vampire Blossom",14,,3,82,,,82,4,14,,264,,Tome of Beasts 3,,Plant
Flayed Wraith,12,,5,67,,,67,2,12,,151,,Tome of Beasts 2,,Undead
"Dragon, Prismatic Adult",18,,16,212,,,212,0,10,Legendary,142,,Tome of Beasts 3,,Dragon
Map Mimic,14,,0.25,32,,,32,2,12,,289,,Tome of Beasts,,Aberration
Empyrean,21,,22,328,,,328,7,17,Legendary,405,,A5e Monstrous Menagerie,,Celestial
Soldier,16,,0.5,19,,,19,1,11,,493,,A5e Monstrous Menagerie,,Humanoid
Specter,12,,1,22,,,22,2,12,,279,,5e SRD,,Undead
Crimson Mist,15,,6,68,,,68,2,12,,67,,Creature Codex,,Undead
Juniper Sheriff,13,,0.5,31,,,31,3,13,,248,,Tome of Beasts 3,,Fey
Giant Wasp,12,,0.5,13,,,13,2,12,,329,,5e SRD,,Beast
Swarm of Quippers,13,,1,28,,,28,3,13,,461,,A5e Monstrous Menagerie,,Beast
Child Of The Briar,13,,1,50,,,50,3,13,,56,,Tome of Beasts,,Plant
Chaos-Spawn Goblin,13,,0.5,22,,,22,2,12,,190,,Creature Codex,,Humanoid
Aklea,21,,22,656,,,656,7,17,Legendary,405,,A5e Monstrous Menagerie,,Celestial
Thursir Giant,13,,3,114,,,114,0,10,,227,,Tome of Beasts,,Giant
"Golem, Chain",16,,8,119,,,119,1,11,,214,,Tome of Beasts 3,,Construct
Succubus/Incubus,15,,4,66,,,66,3,13,,285,,5e SRD,,Fiend
Plaresh,15,,3,30,,,30,3,13,,89,,Creature Codex,,Fiend
Ghost Dragon,14,,11,126,,,126,4,14,,170,,Creature Codex,,Undead
Keg Golem,11,,3,45,,,45,0,10,,201,,Creature Codex,,Construct
Vampire Mage,16,,13,142,,,142,4,14,Legendary,420,,A5e Monstrous Menagerie,,Undead
Werehyena,13,,3,58,,,58,3,13,,259,,Creature Codex,,Humanoid
Divi,18,,11,172,,,172,1,11,,217,,A5e Monstrous Menagerie,,Elemental
Death Worm,13,,1,44,,,44,2,12,,106,,Tome of Beasts 3,,Monstrosity
Tosculi Drone,13,,0.5,22,,,22,3,13,,386,,Tome of Beasts,,Monstrosity
Vaettir,15,,4,120,,,120,2,12,,395,,Tome of Beasts,,Undead
Scarsupial,13,,2,39,,,39,1,11,,339,,Tome of Beasts 3,,Beast
Deep Drake,17,,9,150,,,150,4,14,,152,,Tome of Beasts,,Dragon
Werebat,13,,3,66,,,66,3,13,,258,,Creature Codex,,Humanoid
Eye of the Gods,14,,1,36,,,36,4,14,,16,,Creature Codex,,Celestial
Weretiger,12,,4,120,,,120,2,12,,210,,5e SRD,,Humanoid
Imy-Ut Ushabti,15,,3,97,,,97,2,12,,256,,Tome of Beasts,,Monstrosity
Ancient Black Dragon (+),22,,23,367,,,367,2,12,Legendary,100,,A5e Monstrous Menagerie,,Dragon
Warhordling Orc Eye,14,,2,32,,,32,0,10,,488,,A5e Monstrous Menagerie,,Humanoid
Loxoda,13,,6,147,,,147,1,11,,280,,Tome of Beasts,,Monstrosity
Grimlock Technical,12,,0.5,13,,,13,2,12,,258,,A5e Monstrous Menagerie,,Humanoid
"Archon, Word",13,,1,28,,,28,2,12,,44,,Tome of Beasts 3,,Celestial
